title,description,genre
League of Gods,"During the reign of King Zhou, an official enters his bedchamber, and is devoured by the monstrous tails of Daji, his concubine. Outside their city, several warriors within a metal wagon discuss their strategies to free the Invisible People and their Chief, when Jiang Ziya appears to them. He tells them that when King Zhou was younger, he let himself become possessed by the Black Dragon for his quest for power.","Action, Fantasy"
He Got Game,A basketball player's father must try to convince him to go to a college so he can get a shorter prison sentence.,Drama
The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","Comedy, Romance"
Silent Night,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.","Comedy, Science Fiction, Horror"
Bringing Out the Dead,"Once called ""Father Frank"" for his efforts to rescue lives, Frank Pierce sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own.",Drama
Mighty Joe Young,"As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.","Adventure, Family, Action, Fantasy"
That Obscure Object of Desire,"After dumping a bucket of water on a beautiful young woman from the window of a train car, wealthy Frenchman Mathieu, regales his fellow passengers with the story of the dysfunctional relationship between himself and the young woman in question, a fiery 19-year-old flamenco dancer named Conchita. What follows is a tale of cruelty, depravity and lies -- the very building blocks of love.","Comedy, Drama, Romance"
Yummy,"A young couple travels to a shabby Eastern European hospital for plastic surgery. The young woman wants a breast reduction. Her mother comes along for yet another face-lift. Wandering through an abandoned ward the boyfriend stumbles upon a young woman, gagged and strapped to an operating table; she is the result of an experimental rejuvenation treatment. He frees her, but does not realize he just caused the outbreak of a virus that will change doctors, patients and his mother-in-law into bloodthirsty zombies.","Horror, Comedy"
Z for Zachariah,"In the wake of a nuclear war, a young woman survives on her own, fearing she may actually be the proverbial last woman on earth, until she discovers the most astonishing sight of her life: another human being. A distraught scientist, he’s nearly been driven mad by radiation exposure and his desperate search for others. A fragile, imperative strand of trust connects them. But when a stranger enters the valley, their precarious bond begins to unravel.","Drama, Romance, Science Fiction"
Peggy Sue Got Married,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.","Comedy, Drama, Fantasy"
Dracula,"The story of 15th century Prince Vladimir who curses God following the death of his beloved wife and is turned into a vampire. Later, in 19th century London, he discovers his wife’s doppelgänger and dooms himself by pursuing her.","Horror, Fantasy, Drama"
Is My Face Red?,"William Poster writes a gossip column for the Morning Gazette. He will write about anyone and everyone as long as he gets the credit. He gets most of his information from his showgirl gal-pal, Peggy.  Eventually Bill's reckless tattling gets him in deep trouble with friends and enemies, putting his career and life in jeopardy.","Action, Crime, Drama, Romance"
Love Actually... Sucks!,"It tells a variety of stories about love that has gone wrong: a brother and sister in an illicit relationship, a married painter who falls in love with his young male life model, a dance school teacher who is besotted with his senior student, and a lesbian couple, one of whom has role-play paranoia, and is caught in a complex love triangle.","Drama, Romance"
Peggy Sue Got Married,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.","Comedy, Drama, Fantasy"
Dracula,"The story of 15th century Prince Vladimir who curses God following the death of his beloved wife and is turned into a vampire. Later, in 19th century London, he discovers his wife’s doppelgänger and dooms himself by pursuing her.","Horror, Fantasy, Drama"
Is My Face Red?,"William Poster writes a gossip column for the Morning Gazette. He will write about anyone and everyone as long as he gets the credit. He gets most of his information from his showgirl gal-pal, Peggy.  Eventually Bill's reckless tattling gets him in deep trouble with friends and enemies, putting his career and life in jeopardy.","Action, Crime, Drama, Romance"
Love Actually... Sucks!,"It tells a variety of stories about love that has gone wrong: a brother and sister in an illicit relationship, a married painter who falls in love with his young male life model, a dance school teacher who is besotted with his senior student, and a lesbian couple, one of whom has role-play paranoia, and is caught in a complex love triangle.","Drama, Romance"
Sorry If I Call You Love,"A successful, attractive, intelligent and brilliant advertising executive is longing to finally find emotional stability in his life, and decides to propose to his girlfriend. After she refuses his proposal, his life takes a turn when a new young lady enters his life.","Romance, Drama"
Tootsie,"When struggling, out of work actor Michael Dorsey secretly adopts a female alter ego – Dorothy Michaels – in order to land a part in a daytime drama, he unwittingly becomes a feminist icon and ends up in a romantic pickle.","Comedy, Romance"
Wayne's World 2,"A message from Jim Morrison in a dream prompts cable access TV stars Wayne and Garth to put on a rock concert, ""Waynestock,"" with Aerosmith as headliners. But amid the preparations, Wayne frets that a record producer is putting the moves on his girlfriend, Cassandra, while Garth handles the advances of mega-babe Honey Hornée.","Comedy, Music"
